Gene-ID	Family
LOC-Os02g51090	Nin-like
LOC-Os02g51280	TCP
LOC-Os02g51310	TCP
LOC-Os02g51320	bHLH
LOC-Os02g52190	bHLH
LOC-Os02g52780	bZIP
LOC-Os02g52780	bZIP
LOC-Os02g52950	GeBP
LOC-Os02g53100	WRKY
LOC-Os02g53150	GeBP
LOC-Os02g53620	NF-YA
LOC-Os02g55250	bHLH
LOC-Os02g56140	bHLH
LOC-Os02g56250	GATA
LOC-Os02g56600	NAC
LOC-Os02g57490	LBD
LOC-Os02g57650	NAC
LOC-Os02g58670	bZIP
LOC-Os02g58670	bZIP
LOC-Os03g01870	NAC
LOC-Os03g02240	Trihelix
LOC-Os03g02800	NAC
LOC-Os03g03000	bHLH
LOC-Os03g03540	NAC
LOC-Os03g03550	bZIP
LOC-Os03g03850	GATA
LOC-Os03g03900	Nin-like
LOC-Os03g04070	NAC
LOC-Os03g04310	bHLH
LOC-Os03g04310	bHLH
LOC-Os03g05160	GATA
LOC-Os03g05500	LBD
LOC-Os03g05510	LBD
LOC-Os03g05760	E2F/DP
LOC-Os03g06630	HSF
LOC-Os03g06630	HSF
LOC-Os03g06860	FAR1
LOC-Os03g07360	Dof
LOC-Os03g07540	bHLH
LOC-Os03g07880	NF-YA
LOC-Os03g07880	NF-YA
LOC-Os03g07880	NF-YA
LOC-Os03g08370	FAR1
LOC-Os03g08930	bHLH
LOC-Os03g09100	CAMTA
LOC-Os03g09280	GRAS
LOC-Os03g09280	GRAS
LOC-Os03g09280	GRAS
LOC-Os03g10770	bHLH
LOC-Os03g11600	YABBY
LOC-Os03g11600	YABBY
LOC-Os03g12120	NAC
LOC-Os03g12370	HSF
LOC-Os03g12370	HSF
LOC-Os03g12370	HSF
LOC-Os03g12490	FAR1
LOC-Os03g12760	bHLH
LOC-Os03g12940	bHLH
LOC-Os03g12940	bHLH
LOC-Os03g13614	bZIP
LOC-Os03g13614	bZIP
LOC-Os03g13614	bZIP
LOC-Os03g14270	LBD
LOC-Os03g14669	NF-YC
LOC-Os03g14669	NF-YC
LOC-Os03g15010	FAR1
LOC-Os03g15040	FAR1
LOC-Os03g15040	FAR1
LOC-Os03g15440	bHLH
LOC-Os03g15680	GRAS
LOC-Os03g16850	Dof
LOC-Os03g17130	bHLH
LOC-Os03g17810	LBD
LOC-Os03g18330	Trihelix
LOC-Os03g18340	Trihelix
LOC-Os03g19370	bZIP
LOC-Os03g19375	bZIP
LOC-Os03g20310	bZIP
LOC-Os03g20310	bZIP
LOC-Os03g20310	bZIP
LOC-Os03g20310	bZIP
LOC-Os03g20550	WRKY
LOC-Os03g20550	WRKY
LOC-Os03g20650	bZIP
LOC-Os03g20780	EIL
LOC-Os03g20790	EIL
LOC-Os03g21030	NAC
LOC-Os03g21060	NAC
LOC-Os03g21660	FAR1
LOC-Os03g21710	WRKY
LOC-Os03g21800	bZIP
LOC-Os03g21800	bZIP
LOC-Os03g25120	HSF
LOC-Os03g25430	GeBP
LOC-Os03g26210	bHLH
LOC-Os03g26210	bHLH
LOC-Os03g26210	bHLH
LOC-Os03g27390	bHLH
LOC-Os03g27390	bHLH
LOC-Os03g29480	GRAS
LOC-Os03g29760	NF-YA
LOC-Os03g29760	NF-YA
LOC-Os03g29760	NF-YA
LOC-Os03g29970	NF-YB
LOC-Os03g31880	GRAS
LOC-Os03g33012	WRKY
LOC-Os03g33090	LBD
LOC-Os03g37900	GRAS
LOC-Os03g37920	FAR1
LOC-Os03g38870	Dof
LOC-Os03g39050	NAC
LOC-Os03g39100	NAC
LOC-Os03g40080	GRAS
LOC-Os03g40160	FAR1
LOC-Os03g41330	LBD
LOC-Os03g41600	LBD
LOC-Os03g41800	FAR1
LOC-Os03g42100	bHLH
LOC-Os03g42200	Dof
LOC-Os03g42630	NAC
LOC-Os03g43730	CPP
LOC-Os03g43810	bHLH
LOC-Os03g44540	NF-YA
LOC-Os03g44710	YABBY
LOC-Os03g44710	YABBY
LOC-Os03g44710	YABBY
LOC-Os03g45300	FAR1
LOC-Os03g45450	WRKY
LOC-Os03g45750	LBD
LOC-Os03g46350	Trihelix
LOC-Os03g46790	bHLH
LOC-Os03g46860	bHLH
LOC-Os03g47200	bZIP
LOC-Os03g47970	GATA
LOC-Os03g47970	GATA
LOC-Os03g48450	GRAS
LOC-Os03g48450	GRAS
LOC-Os03g48450	GRAS
LOC-Os03g48450	GRAS
LOC-Os03g48970	NF-YA
LOC-Os03g48970	NF-YA
LOC-Os03g48970	NF-YA
LOC-Os03g48970	NF-YA
LOC-Os03g49880	TCP
LOC-Os03g49990	GRAS
LOC-Os03g50110	GeBP
LOC-Os03g50900	FAR1
LOC-Os03g50920	ZF-HD
LOC-Os03g51330	GRAS
LOC-Os03g51580	bHLH
LOC-Os03g51910	bHLH
LOC-Os03g52450	GATA
LOC-Os03g52450	GATA
LOC-Os03g53020	bHLH
LOC-Os03g53050	WRKY
LOC-Os03g53340	HSF
LOC-Os03g53340	HSF
LOC-Os03g53340	HSF
LOC-Os03g53340	HSF
LOC-Os03g55080	WRKY
LOC-Os03g55164	WRKY
LOC-Os03g55164	WRKY
LOC-Os03g55220	bHLH
LOC-Os03g55220	bHLH
LOC-Os03g55550	bHLH
LOC-Os03g55610	Dof
LOC-Os03g56010	bZIP
LOC-Os03g56580	NAC
LOC-Os03g56630	FAR1
LOC-Os03g56630	FAR1
LOC-Os03g56950	bHLH
LOC-Os03g56950	bHLH
LOC-Os03g56950	bHLH
LOC-Os03g56950	bHLH
LOC-Os03g56950	bHLH
LOC-Os03g56950	bHLH
LOC-Os03g56950	bHLH
LOC-Os03g57190	TCP
LOC-Os03g57670	LBD
LOC-Os03g58160	HSF
LOC-Os03g58160	HSF
LOC-Os03g58250	bZIP
LOC-Os03g58330	bHLH
LOC-Os03g58420	WRKY
LOC-Os03g58420	WRKY
LOC-Os03g58830	bHLH
LOC-Os03g59460	bZIP
LOC-Os03g59670	bHLH
LOC-Os03g59730	NAC
LOC-Os03g60080	NAC
LOC-Os03g60630	Dof
LOC-Os03g61249	NAC
LOC-Os03g61319	NAC
LOC-Os03g61570	GATA
LOC-Os03g61650	NAC
LOC-Os03g61760	SBP
LOC-Os03g62470	NAC
LOC-Os03g62660	FAR1
LOC-Os03g62660	FAR1
LOC-Os03g63530	NF-YC
LOC-Os03g63530	NF-YC
LOC-Os03g63750	HSF
LOC-Os03g63810	WRKY
LOC-Os04g02140	E2F/DP
LOC-Os04g04300	WRKY
LOC-Os04g04400	FAR1
LOC-Os04g09560	CPP
LOC-Os04g10260	bZIP
LOC-Os04g10860	FAR1
LOC-Os04g11830	TCP
LOC-Os04g21950	WRKY
LOC-Os04g22990	FAR1
LOC-Os04g23440	bHLH
LOC-Os04g23550	bHLH
LOC-Os04g23550	bHLH
LOC-Os04g25100	FAR1
LOC-Os04g28280	bHLH
LOC-Os04g28580	FAR1
LOC-Os04g30870	FAR1
LOC-Os04g31290	bHLH
LOC-Os04g31900	CAMTA
LOC-Os04g32590	Trihelix
LOC-Os04g33420	S1Fa-like
LOC-Os04g33440	S1Fa-like
LOC-Os04g33950	E2F/DP
LOC-Os04g35010	bHLH
LOC-Os04g35250	GRAS
LOC-Os04g35500	ZF-HD
LOC-Os04g35660	NAC
LOC-Os04g36590	FAR1
LOC-Os04g36790	Trihelix
LOC-Os04g37440	GRAS
LOC-Os04g38400	EIL
LOC-Os04g38720	NAC
LOC-Os04g39570	WRKY
LOC-Os04g39570	WRKY
LOC-Os04g39960	NAC
LOC-Os04g40060	FAR1
LOC-Os04g40140	NAC
LOC-Os04g40140	NAC
LOC-Os04g40140	NAC
LOC-Os04g40930	Trihelix
LOC-Os04g41229	bHLH
LOC-Os04g41229	bHLH
LOC-Os04g41820	bZIP
LOC-Os04g41850	Nin-like
LOC-Os04g42940	NAC
LOC-Os04g43560	NAC
LOC-Os04g44440	TCP
LOC-Os04g44630	FAR1
LOC-Os04g45330	YABBY
LOC-Os04g45650	GATA
LOC-Os04g45750	Trihelix
LOC-Os04g45750	Trihelix
LOC-Os04g45940	Trihelix
LOC-Os04g46020	GATA
LOC-Os04g46020	GATA
LOC-Os04g46060	WRKY
LOC-Os04g46580	SBP
LOC-Os04g46860	GRAS
LOC-Os04g47040	bHLH
LOC-Os04g47059	bHLH
LOC-Os04g47080	bHLH
LOC-Os04g47640	Nin-like
LOC-Os04g47990	Dof
LOC-Os04g47990	Dof
LOC-Os04g48030	HSF
LOC-Os04g49110	GRAS
LOC-Os04g49380	FAR1
LOC-Os04g50060	GRAS
LOC-Os04g50060	GRAS
LOC-Os04g50090	bHLH
LOC-Os04g50920	WRKY
LOC-Os04g51000	LFY
LOC-Os04g51070	bHLH
LOC-Os04g51320	Trihelix
LOC-Os04g51560	WRKY
LOC-Os04g52560	FAR1
LOC-Os04g52770	bHLH
LOC-Os04g52810	NAC
LOC-Os04g53990	bHLH
LOC-Os04g54474	bZIP
LOC-Os04g54474	bZIP
LOC-Os04g54474	bZIP
LOC-Os04g54880	FAR1
LOC-Os04g54900	bHLH
LOC-Os04g56170	SBP
LOC-Os04g57530	Trihelix
LOC-Os04g58190	Dof
LOC-Os04g58190	Dof
LOC-Os04g58190	Dof
LOC-Os04g58680	NF-YC
LOC-Os04g59470	NAC
LOC-Os05g01256	bHLH
LOC-Os05g01256	bHLH
LOC-Os05g02150	Dof
LOC-Os05g03090	FAR1
LOC-Os05g03160	LBD
LOC-Os05g03740	Trihelix
LOC-Os05g03800	FAR1
LOC-Os05g03860	bZIP
LOC-Os05g03865	bZIP
LOC-Os05g03900	WRKY
LOC-Os05g03900	WRKY
LOC-Os05g04640	WRKY
LOC-Os05g04740	bHLH
LOC-Os05g04740	bHLH
LOC-Os05g06170	FAR1
LOC-Os05g06340	GATA
LOC-Os05g06520	bHLH
LOC-Os05g07120	bHLH
LOC-Os05g07120	bHLH
LOC-Os05g07270	LBD
LOC-Os05g09020	WRKY
LOC-Os05g09020	WRKY
LOC-Os05g10620	NAC
LOC-Os05g10620	NAC
LOC-Os05g10620	NAC
LOC-Os05g11070	bHLH
LOC-Os05g14370	WRKY
LOC-Os05g23910	NF-YC
LOC-Os05g25320	FAR1
LOC-Os05g25770	WRKY
LOC-Os05g25960	NAC
LOC-Os05g26026	NAC
LOC-Os05g26049	NAC
LOC-Os05g27730	WRKY
LOC-Os05g27749	NAC
LOC-Os05g27980	LBD
LOC-Os05g30310	FAR1
LOC-Os05g30720	FAR1
LOC-Os05g31380	GRAS
LOC-Os05g31420	GRAS
LOC-Os05g32070	SRS
LOC-Os05g33810	SBP
LOC-Os05g34050	bZIP
LOC-Os05g34310	NAC
LOC-Os05g34450	LBD
LOC-Os05g34600	NAC
LOC-Os05g34830	NAC
LOC-Os05g34830	NAC
LOC-Os05g34830	NAC
LOC-Os05g35170	NAC
LOC-Os05g35170	NAC
LOC-Os05g35170	NAC
LOC-Os05g35170	NAC
LOC-Os05g35170	NAC
LOC-Os05g36160	bZIP
LOC-Os05g36160	bZIP
LOC-Os05g36900	Dof
LOC-Os05g37080	NAC
LOC-Os05g37170	bZIP
LOC-Os05g37170	bZIP
LOC-Os05g37170	bZIP
LOC-Os05g37170	bZIP
LOC-Os05g37170	bZIP
LOC-Os05g37170	bZIP
LOC-Os05g37170	bZIP
LOC-Os05g37540	FAR1
LOC-Os05g38140	bHLH
LOC-Os05g38820	NF-YB
LOC-Os05g39480	FAR1
LOC-Os05g39720	WRKY
LOC-Os05g39790	FAR1
LOC-Os05g40060	WRKY
LOC-Os05g40070	WRKY
LOC-Os05g40080	WRKY
LOC-Os05g40680	FAR1
LOC-Os05g40710	GRAS
LOC-Os05g41070	bZIP
LOC-Os05g41280	bZIP
LOC-Os05g41450	NF-YC
LOC-Os05g41540	bZIP
LOC-Os05g42130	GRAS
LOC-Os05g42180	bHLH
LOC-Os05g43380	CPP
LOC-Os05g43380	CPP
LOC-Os05g43760	TCP
LOC-Os05g43950	VOZ
LOC-Os05g43960	NAC
LOC-Os05g44400	GATA
LOC-Os05g45230	WRKY
LOC-Os05g45410	HSF
LOC-Os05g46020	WRKY
LOC-Os05g46370	bHLH
LOC-Os05g48690	Trihelix
LOC-Os05g48690	Trihelix
LOC-Os05g48850	NAC
LOC-Os05g49100	WRKY
LOC-Os05g49210	WRKY
LOC-Os05g49280	GATA
LOC-Os05g49420	bZIP
LOC-Os05g49620	WRKY
LOC-Os05g49780	NF-YB
LOC-Os05g49930	GRAS
LOC-Os05g50270	GATA
LOC-Os05g50310	ZF-HD
LOC-Os05g50610	WRKY
LOC-Os05g50610	WRKY
LOC-Os05g50700	WRKY
LOC-Os05g50900	bHLH
LOC-Os05g51040	CPP
LOC-Os05g51820	bHLH
LOC-Os06g01230	NAC
LOC-Os06g01230	NAC
LOC-Os06g01480	NAC
LOC-Os06g01620	GRAS
LOC-Os06g03710	GRAS
LOC-Os06g04010	BBR-BPC
LOC-Os06g04010	BBR-BPC
LOC-Os06g04090	NAC
LOC-Os06g05350	Whirly
LOC-Os06g05380	WRKY
LOC-Os06g06360	WRKY
LOC-Os06g06900	bHLH
LOC-Os06g07010	FAR1
LOC-Os06g07010	FAR1
LOC-Os06g08500	bHLH
LOC-Os06g09370	bHLH
LOC-Os06g09370	bHLH
LOC-Os06g09370	bHLH
LOC-Os06g10710	GeBP
LOC-Os06g10820	bHLH
LOC-Os06g10880	bZIP
LOC-Os06g10880	bZIP
LOC-Os06g10880	bZIP
LOC-Os06g10900	GRAS
LOC-Os06g12210	bHLH
LOC-Os06g12230	TCP
LOC-Os06g12360	Nin-like
LOC-Os06g13670	E2F/DP
LOC-Os06g13740	FAR1
LOC-Os06g13900	FAR1
LOC-Os06g14190	NF-X1
LOC-Os06g15480	bZIP
LOC-Os06g15480	bZIP
LOC-Os06g16400	bHLH
LOC-Os06g16400	bHLH
LOC-Os06g17410	Dof
LOC-Os06g17480	NF-YB
LOC-Os06g22670	CPP
LOC-Os06g23030	ZF-HD
LOC-Os06g23650	NAC
LOC-Os06g25610	FAR1
LOC-Os06g28150	FAR1
LOC-Os06g30090	bHLH
LOC-Os06g30860	WRKY
LOC-Os06g32530	FAR1
LOC-Os06g33450	bHLH
LOC-Os06g33450	bHLH
LOC-Os06g33940	NAC
LOC-Os06g35900	BES1
LOC-Os06g35960	HSF
LOC-Os06g36480	NAC
LOC-Os06g36930	HSF
LOC-Os06g36970	FAR1
LOC-Os06g37410	bHLH
LOC-Os06g37450	GATA
LOC-Os06g39090	FAR1
LOC-Os06g39680	FAR1
LOC-Os06g39960	bZIP
LOC-Os06g40780	GRAS
LOC-Os06g41100	bZIP
LOC-Os06g41770	bZIP
LOC-Os06g42140	bZIP
LOC-Os06g42420	FAR1
LOC-Os06g42520	FAR1
LOC-Os06g42690	bZIP
LOC-Os06g43870	bZIP
LOC-Os06g44010	WRKY
LOC-Os06g44860	SBP
LOC-Os06g45140	bZIP
LOC-Os06g45140	bZIP
LOC-Os06g45140	bZIP
LOC-Os06g45310	SBP
LOC-Os06g45640	NF-YC
LOC-Os06g46270	NAC
LOC-Os06g48534	GATA
LOC-Os06g49010	SBP
LOC-Os06g49010	SBP
LOC-Os06g49010	SBP
LOC-Os06g49010	SBP
LOC-Os06g49010	SBP
LOC-Os06g49010	SBP
LOC-Os06g49550	FAR1
LOC-Os06g49830	SRS
LOC-Os06g50310	bZIP
LOC-Os06g50480	bZIP
LOC-Os06g50600	bZIP
LOC-Os06g50600	bZIP
LOC-Os06g50830	bZIP
LOC-Os06g50830	bZIP
LOC-Os06g50900	bHLH
LOC-Os06g51070	NAC
LOC-Os07g01270	FAR1
LOC-Os07g02060	WRKY
LOC-Os07g03220	bZIP
LOC-Os07g04560	NAC
LOC-Os07g05010	bHLH
LOC-Os07g05010	bHLH
LOC-Os07g05010	bHLH
LOC-Os07g05720	TCP
LOC-Os07g06470	NF-YA
LOC-Os07g06470	NF-YA
LOC-Os07g06620	YABBY
LOC-Os07g06620	YABBY
LOC-Os07g06620	YABBY
LOC-Os07g06620	YABBY
LOC-Os07g07974	CPP
LOC-Os07g08140	HSF
LOC-Os07g08420	bZIP
LOC-Os07g09590	bHLH
LOC-Os07g09740	NAC
LOC-Os07g09830	NAC
LOC-Os07g09860	NAC
LOC-Os07g10890	bZIP
LOC-Os07g10890	bZIP
LOC-Os07g12210	EIL
LOC-Os07g12340	NAC
LOC-Os07g13260	Dof
LOC-Os07g13920	NAC
LOC-Os07g16330	GRAS
LOC-Os07g17160	EIL
LOC-Os07g17180	NAC
LOC-Os07g18840	FAR1
LOC-Os07g27330	NAC
LOC-Os07g27340	NAC
LOC-Os07g27670	WRKY
LOC-Os07g27770	FAR1
LOC-Os07g27800	FAR1
LOC-Os07g30774	CAMTA
LOC-Os07g31400	FAR1
LOC-Os07g31410	NAC
LOC-Os07g31420	FAR1
LOC-Os07g31420	FAR1
LOC-Os07g32110	FAR1
LOC-Os07g32170	SBP
LOC-Os07g32510	Dof
LOC-Os07g35870	bHLH
LOC-Os07g35870	bHLH
LOC-Os07g36170	GRAS
LOC-Os07g36170	GRAS
LOC-Os07g36460	bHLH
LOC-Os07g37630	FAR1
LOC-Os07g37920	NAC
LOC-Os07g38030	GRAS
LOC-Os07g38410	YABBY
LOC-Os07g39220	BES1
LOC-Os07g39470	GRAS
LOC-Os07g39480	WRKY
LOC-Os07g39800	HRT-like
LOC-Os07g39820	GRAS
LOC-Os07g39940	bHLH
LOC-Os07g40000	LBD
LOC-Os07g40020	GRAS
LOC-Os07g40570	WRKY
LOC-Os07g41580	NF-YB
LOC-Os07g41720	NF-YA
LOC-Os07g41720	NF-YA
LOC-Os07g42400	FAR1
