Orthogroup	Sorghum	Rice
OG0005043	Sobic.010G112000.1.p pacid=37908454 transcript=Sobic.010G112000.1 locus=Sobic.010G112000 ID=Sobic.010G112000.1.v3.2 annot-version=v3.1.1	LOC_Os06g15700.1 pacid=33148973 transcript=LOC_Os06g15700.1 locus=LOC_Os06g15700 ID=LOC_Os06g15700.1.MSUv7.0 annot-version=v7.0
OG0007870	Sobic.010G018500.2.p pacid=37908455 transcript=Sobic.010G018500.2 locus=Sobic.010G018500 ID=Sobic.010G018500.2.v3.2 annot-version=v3.1.1	LOC_Os06g03820.1 pacid=33149069 transcript=LOC_Os06g03820.1 locus=LOC_Os06g03820 ID=LOC_Os06g03820.1.MSUv7.0 annot-version=v7.0
OG0002414	Sobic.010G101100.1.p pacid=37908456 transcript=Sobic.010G101100.1 locus=Sobic.010G101100 ID=Sobic.010G101100.1.v3.2 annot-version=v3.1.1	LOC_Os06g13670.1 pacid=33147464 transcript=LOC_Os06g13670.1 locus=LOC_Os06g13670 ID=LOC_Os06g13670.1.MSUv7.0 annot-version=v7.0
OG0000317	Sobic.010G180100.1.p pacid=37908459 transcript=Sobic.010G180100.1 locus=Sobic.010G180100 ID=Sobic.010G180100.1.v3.2 annot-version=v3.1.1	LOC_Os06g39470.1 pacid=33144990 transcript=LOC_Os06g39470.1 locus=LOC_Os06g39470 ID=LOC_Os06g39470.1.MSUv7.0 annot-version=v7.0
OG0013955	Sobic.010G262200.1.p pacid=37908461 transcript=Sobic.010G262200.1 locus=Sobic.010G262200 ID=Sobic.010G262200.1.v3.2 annot-version=v3.1.1	LOC_Os06g49880.1 pacid=33148745 transcript=LOC_Os06g49880.1 locus=LOC_Os06g49880 ID=LOC_Os06g49880.1.MSUv7.0 annot-version=v7.0
OG0003243	Sobic.010G200900.1.p pacid=37908465 transcript=Sobic.010G200900.1 locus=Sobic.010G200900 ID=Sobic.010G200900.1.v3.2 annot-version=v3.1.1	LOC_Os06g43044.1 pacid=33149445 transcript=LOC_Os06g43044.1 locus=LOC_Os06g43044 ID=LOC_Os06g43044.1.MSUv7.0 annot-version=v7.0
OG0004055	Sobic.010G184600.1.p pacid=37908466 transcript=Sobic.010G184600.1 locus=Sobic.010G184600 ID=Sobic.010G184600.1.v3.2 annot-version=v3.1.1	LOC_Os06g40080.1 pacid=33148166 transcript=LOC_Os06g40080.1 locus=LOC_Os06g40080 ID=LOC_Os06g40080.1.MSUv7.0 annot-version=v7.0
OG0002936	Sobic.010G261700.1.p pacid=37908467 transcript=Sobic.010G261700.1 locus=Sobic.010G261700 ID=Sobic.010G261700.1.v3.2 annot-version=v3.1.1	LOC_Os06g49830.1 pacid=33149265 transcript=LOC_Os06g49830.1 locus=LOC_Os06g49830 ID=LOC_Os06g49830.1.MSUv7.0 annot-version=v7.0
OG0007990	Sobic.010G091600.1.p pacid=37908471 transcript=Sobic.010G091600.1 locus=Sobic.010G091600 ID=Sobic.010G091600.1.v3.2 annot-version=v3.1.1	LOC_Os06g12190.1 pacid=33148725 transcript=LOC_Os06g12190.1 locus=LOC_Os06g12190 ID=LOC_Os06g12190.1.MSUv7.0 annot-version=v7.0
OG0001081	Sobic.010G251000.1.p pacid=37908473 transcript=Sobic.010G251000.1 locus=Sobic.010G251000 ID=Sobic.010G251000.1.v3.2 annot-version=v3.1.1	LOC_Os10g11260.1 pacid=33099650 transcript=LOC_Os10g11260.1 locus=LOC_Os10g11260 ID=LOC_Os10g11260.1.MSUv7.0 annot-version=v7.0
OG0007068	Sobic.010G154000.1.p pacid=37908480 transcript=Sobic.010G154000.1 locus=Sobic.010G154000 ID=Sobic.010G154000.1.v3.2 annot-version=v3.1.1	LOC_Os06g33810.1 pacid=33146401 transcript=LOC_Os06g33810.1 locus=LOC_Os06g33810 ID=LOC_Os06g33810.1.MSUv7.0 annot-version=v7.0
OG0003088	Sobic.010G083900.1.p pacid=37908485 transcript=Sobic.010G083900.1 locus=Sobic.010G083900 ID=Sobic.010G083900.1.v3.2 annot-version=v3.1.1	LOC_Os06g11180.1 pacid=33147001 transcript=LOC_Os06g11180.1 locus=LOC_Os06g11180 ID=LOC_Os06g11180.1.MSUv7.0 annot-version=v7.0
OG0003369	Sobic.010G043800.1.p pacid=37908488 transcript=Sobic.010G043800.1 locus=Sobic.010G043800 ID=Sobic.010G043800.1.v3.2 annot-version=v3.1.1	LOC_Os06g06190.1 pacid=33145118 transcript=LOC_Os06g06190.1 locus=LOC_Os06g06190 ID=LOC_Os06g06190.1.MSUv7.0 annot-version=v7.0
OG0000470	"Sobic.010G231100.2.p pacid=37908492 transcript=Sobic.010G231100.2 locus=Sobic.010G231100 ID=Sobic.010G231100.2.v3.2 annot-version=v3.1.1, Sobic.010G231500.1.p pacid=37909084 transcript=Sobic.010G231500.1 locus=Sobic.010G231500 ID=Sobic.010G231500.1.v3.2 annot-version=v3.1.1, Sobic.010G231300.1.p pacid=37909500 transcript=Sobic.010G231300.1 locus=Sobic.010G231300 ID=Sobic.010G231300.1.v3.2 annot-version=v3.1.1"	LOC_Os06g46670.2 pacid=33146300 transcript=LOC_Os06g46670.2 locus=LOC_Os06g46670 ID=LOC_Os06g46670.2.MSUv7.0 annot-version=v7.0
OG0009197	Sobic.010G023400.1.p pacid=37908493 transcript=Sobic.010G023400.1 locus=Sobic.010G023400 ID=Sobic.010G023400.1.v3.2 annot-version=v3.1.1	LOC_Os06g04250.1 pacid=33146967 transcript=LOC_Os06g04250.1 locus=LOC_Os06g04250 ID=LOC_Os06g04250.1.MSUv7.0 annot-version=v7.0
OG0014970	Sobic.010G039500.1.p pacid=37908495 transcript=Sobic.010G039500.1 locus=Sobic.010G039500 ID=Sobic.010G039500.1.v3.2 annot-version=v3.1.1	LOC_Os04g47020.2 pacid=33113490 transcript=LOC_Os04g47020.2 locus=LOC_Os04g47020 ID=LOC_Os04g47020.2.MSUv7.0 annot-version=v7.0
OG0000674	Sobic.010G060100.1.p pacid=37908502 transcript=Sobic.010G060100.1 locus=Sobic.010G060100 ID=Sobic.010G060100.1.v3.2 annot-version=v3.1.1	"LOC_Os02g17940.1 pacid=33139997 transcript=LOC_Os02g17940.1 locus=LOC_Os02g17940 ID=LOC_Os02g17940.1.MSUv7.0 annot-version=v7.0, LOC_Os06g07932.1 pacid=33147112 transcript=LOC_Os06g07932.1 locus=LOC_Os06g07932 ID=LOC_Os06g07932.1.MSUv7.0 annot-version=v7.0, LOC_Os06g08032.1 pacid=33148262 transcript=LOC_Os06g08032.1 locus=LOC_Os06g08032 ID=LOC_Os06g08032.1.MSUv7.0 annot-version=v7.0"
OG0000299	Sobic.010G215100.2.p pacid=37908503 transcript=Sobic.010G215100.2 locus=Sobic.010G215100 ID=Sobic.010G215100.2.v3.2 annot-version=v3.1.1	LOC_Os06g44750.1 pacid=33146631 transcript=LOC_Os06g44750.1 locus=LOC_Os06g44750 ID=LOC_Os06g44750.1.MSUv7.0 annot-version=v7.0
OG0003204	Sobic.010G096300.1.p pacid=37908506 transcript=Sobic.010G096300.1 locus=Sobic.010G096300 ID=Sobic.010G096300.1.v3.2 annot-version=v3.1.1	LOC_Os06g24070.1 pacid=33148830 transcript=LOC_Os06g24070.1 locus=LOC_Os06g24070 ID=LOC_Os06g24070.1.MSUv7.0 annot-version=v7.0
OG0002918	Sobic.010G067800.1.p pacid=37908510 transcript=Sobic.010G067800.1 locus=Sobic.010G067800 ID=Sobic.010G067800.1.v3.2 annot-version=v3.1.1	LOC_Os06g08750.1 pacid=33149718 transcript=LOC_Os06g08750.1 locus=LOC_Os06g08750 ID=LOC_Os06g08750.1.MSUv7.0 annot-version=v7.0
OG0007089	Sobic.010G202500.3.p pacid=37908511 transcript=Sobic.010G202500.3 locus=Sobic.010G202500 ID=Sobic.010G202500.3.v3.2 annot-version=v3.1.1	LOC_Os06g43190.1 pacid=33147725 transcript=LOC_Os06g43190.1 locus=LOC_Os06g43190 ID=LOC_Os06g43190.1.MSUv7.0 annot-version=v7.0
OG0008857	Sobic.010G059200.1.p pacid=37908513 transcript=Sobic.010G059200.1 locus=Sobic.010G059200 ID=Sobic.010G059200.1.v3.2 annot-version=v3.1.1	"LOC_Os06g07960.1 pacid=33145934 transcript=LOC_Os06g07960.1 locus=LOC_Os06g07960 ID=LOC_Os06g07960.1.MSUv7.0 annot-version=v7.0, LOC_Os06g07860.1 pacid=33148550 transcript=LOC_Os06g07860.1 locus=LOC_Os06g07860 ID=LOC_Os06g07860.1.MSUv7.0 annot-version=v7.0"
OG0001244	"Sobic.010G009700.1.p pacid=37908514 transcript=Sobic.010G009700.1 locus=Sobic.010G009700 ID=Sobic.010G009700.1.v3.2 annot-version=v3.1.1, Sobic.010G009600.3.p pacid=37909360 transcript=Sobic.010G009600.3 locus=Sobic.010G009600 ID=Sobic.010G009600.3.v3.2 annot-version=v3.1.1, Sobic.010G009800.1.p pacid=37911503 transcript=Sobic.010G009800.1 locus=Sobic.010G009800 ID=Sobic.010G009800.1.v3.2 annot-version=v3.1.1"	"LOC_Os06g02110.1 pacid=33145157 transcript=LOC_Os06g02110.1 locus=LOC_Os06g02110 ID=LOC_Os06g02110.1.MSUv7.0 annot-version=v7.0, LOC_Os06g02330.1 pacid=33146998 transcript=LOC_Os06g02330.1 locus=LOC_Os06g02330 ID=LOC_Os06g02330.1.MSUv7.0 annot-version=v7.0"
OG0001021	Sobic.010G009300.2.p pacid=37908517 transcript=Sobic.010G009300.2 locus=Sobic.010G009300 ID=Sobic.010G009300.2.v3.2 annot-version=v3.1.1	LOC_Os06g02144.1 pacid=33149279 transcript=LOC_Os06g02144.1 locus=LOC_Os06g02144 ID=LOC_Os06g02144.1.MSUv7.0 annot-version=v7.0
OG0002444	Sobic.010G207250.1.p pacid=37908523 transcript=Sobic.010G207250.1 locus=Sobic.010G207250 ID=Sobic.010G207250.1.v3.2 annot-version=v3.1.1	LOC_Os06g43810.1 pacid=33144824 transcript=LOC_Os06g43810.1 locus=LOC_Os06g43810 ID=LOC_Os06g43810.1.MSUv7.0 annot-version=v7.0
OG0000740	Sobic.010G021200.1.p pacid=37908525 transcript=Sobic.010G021200.1 locus=Sobic.010G021200 ID=Sobic.010G021200.1.v3.2 annot-version=v3.1.1	LOC_Os06g04010.2 pacid=33145524 transcript=LOC_Os06g04010.2 locus=LOC_Os06g04010 ID=LOC_Os06g04010.2.MSUv7.0 annot-version=v7.0
OG0001318	Sobic.010G026200.1.p pacid=37908527 transcript=Sobic.010G026200.1 locus=Sobic.010G026200 ID=Sobic.010G026200.1.v3.2 annot-version=v3.1.1	LOC_Os06g04450.1 pacid=33147861 transcript=LOC_Os06g04450.1 locus=LOC_Os06g04450 ID=LOC_Os06g04450.1.MSUv7.0 annot-version=v7.0
OG0008325	Sobic.010G088300.1.p pacid=37908530 transcript=Sobic.010G088300.1 locus=Sobic.010G088300 ID=Sobic.010G088300.1.v3.2 annot-version=v3.1.1	LOC_Os06g11640.1 pacid=33149126 transcript=LOC_Os06g11640.1 locus=LOC_Os06g11640 ID=LOC_Os06g11640.1.MSUv7.0 annot-version=v7.0
OG0000364	Sobic.010G064600.1.p pacid=37908531 transcript=Sobic.010G064600.1 locus=Sobic.010G064600 ID=Sobic.010G064600.1.v3.2 annot-version=v3.1.1	LOC_Os06g08400.1 pacid=33146134 transcript=LOC_Os06g08400.1 locus=LOC_Os06g08400 ID=LOC_Os06g08400.1.MSUv7.0 annot-version=v7.0
OG0006472	Sobic.010G035500.1.p pacid=37908533 transcript=Sobic.010G035500.1 locus=Sobic.010G035500 ID=Sobic.010G035500.1.v3.2 annot-version=v3.1.1	LOC_Os06g05400.1 pacid=33147665 transcript=LOC_Os06g05400.1 locus=LOC_Os06g05400 ID=LOC_Os06g05400.1.MSUv7.0 annot-version=v7.0
OG0004663	Sobic.010G028800.1.p pacid=37908534 transcript=Sobic.010G028800.1 locus=Sobic.010G028800 ID=Sobic.010G028800.1.v3.2 annot-version=v3.1.1	LOC_Os06g04660.1 pacid=33146670 transcript=LOC_Os06g04660.1 locus=LOC_Os06g04660 ID=LOC_Os06g04660.1.MSUv7.0 annot-version=v7.0
OG0014565	Sobic.010G167700.1.p pacid=37908536 transcript=Sobic.010G167700.1 locus=Sobic.010G167700 ID=Sobic.010G167700.1.v3.2 annot-version=v3.1.1	LOC_Os06g36320.1 pacid=33145540 transcript=LOC_Os06g36320.1 locus=LOC_Os06g36320 ID=LOC_Os06g36320.1.MSUv7.0 annot-version=v7.0
OG0001389	Sobic.010G238100.1.p pacid=37908537 transcript=Sobic.010G238100.1 locus=Sobic.010G238100 ID=Sobic.010G238100.1.v3.2 annot-version=v3.1.1	LOC_Os06g47310.1 pacid=33148008 transcript=LOC_Os06g47310.1 locus=LOC_Os06g47310 ID=LOC_Os06g47310.1.MSUv7.0 annot-version=v7.0
OG0007943	"Sobic.010G144700.1.p pacid=37908538 transcript=Sobic.010G144700.1 locus=Sobic.010G144700 ID=Sobic.010G144700.1.v3.2 annot-version=v3.1.1, Sobic.010G144800.1.p pacid=37909226 transcript=Sobic.010G144800.1 locus=Sobic.010G144800 ID=Sobic.010G144800.1.v3.2 annot-version=v3.1.1, Sobic.003G175600.1.p pacid=37913757 transcript=Sobic.003G175600.1 locus=Sobic.003G175600 ID=Sobic.003G175600.1.v3.2 annot-version=v3.1.1, Sobic.006G239700.1.p pacid=37947741 transcript=Sobic.006G239700.1 locus=Sobic.006G239700 ID=Sobic.006G239700.1.v3.2 annot-version=v3.1.1"	"LOC_Os04g55390.1 pacid=33110444 transcript=LOC_Os04g55390.1 locus=LOC_Os04g55390 ID=LOC_Os04g55390.1.MSUv7.0 annot-version=v7.0, LOC_Os05g10900.1 pacid=33158003 transcript=LOC_Os05g10900.1 locus=LOC_Os05g10900 ID=LOC_Os05g10900.1.MSUv7.0 annot-version=v7.0, LOC_Os05g10920.1 pacid=33159118 transcript=LOC_Os05g10920.1 locus=LOC_Os05g10920 ID=LOC_Os05g10920.1.MSUv7.0 annot-version=v7.0"
OG0001806	Sobic.010G004100.1.p pacid=37908540 transcript=Sobic.010G004100.1 locus=Sobic.010G004100 ID=Sobic.010G004100.1.v3.2 annot-version=v3.1.1	LOC_Os06g01650.1 pacid=33148292 transcript=LOC_Os06g01650.1 locus=LOC_Os06g01650 ID=LOC_Os06g01650.1.MSUv7.0 annot-version=v7.0
OG0000143	Sobic.010G093600.2.p pacid=37908542 transcript=Sobic.010G093600.2 locus=Sobic.010G093600 ID=Sobic.010G093600.2.v3.2 annot-version=v3.1.1	LOC_Os06g29350.1 pacid=33149038 transcript=LOC_Os06g29350.1 locus=LOC_Os06g29350 ID=LOC_Os06g29350.1.MSUv7.0 annot-version=v7.0
OG0003684	Sobic.010G199900.1.p pacid=37908543 transcript=Sobic.010G199900.1 locus=Sobic.010G199900 ID=Sobic.010G199900.1.v3.2 annot-version=v3.1.1	LOC_Os06g42850.1 pacid=33147007 transcript=LOC_Os06g42850.1 locus=LOC_Os06g42850 ID=LOC_Os06g42850.1.MSUv7.0 annot-version=v7.0
OG0001501	"Sobic.010G069200.1.p pacid=37908544 transcript=Sobic.010G069200.1 locus=Sobic.010G069200 ID=Sobic.010G069200.1.v3.2 annot-version=v3.1.1, Sobic.010G114800.2.p pacid=37912080 transcript=Sobic.010G114800.2 locus=Sobic.010G114800 ID=Sobic.010G114800.2.v3.2 annot-version=v3.1.1"	"LOC_Os10g06580.1 pacid=33099361 transcript=LOC_Os10g06580.1 locus=LOC_Os10g06580 ID=LOC_Os10g06580.1.MSUv7.0 annot-version=v7.0, LOC_Os10g06780.1 pacid=33099980 transcript=LOC_Os10g06780.1 locus=LOC_Os10g06780 ID=LOC_Os10g06780.1.MSUv7.0 annot-version=v7.0, LOC_Os10g06950.1 pacid=33100295 transcript=LOC_Os10g06950.1 locus=LOC_Os10g06950 ID=LOC_Os10g06950.1.MSUv7.0 annot-version=v7.0, LOC_Os10g06800.1 pacid=33100745 transcript=LOC_Os10g06800.1 locus=LOC_Os10g06800 ID=LOC_Os10g06800.1.MSUv7.0 annot-version=v7.0, LOC_Os10g06560.1 pacid=33101592 transcript=LOC_Os10g06560.1 locus=LOC_Os10g06560 ID=LOC_Os10g06560.1.MSUv7.0 annot-version=v7.0, LOC_Os10g06510.1 pacid=33101879 transcript=LOC_Os10g06510.1 locus=LOC_Os10g06510 ID=LOC_Os10g06510.1.MSUv7.0 annot-version=v7.0"
OG0008270	Sobic.010G003900.1.p pacid=37908545 transcript=Sobic.010G003900.1 locus=Sobic.010G003900 ID=Sobic.010G003900.1.v3.2 annot-version=v3.1.1	LOC_Os06g01640.1 pacid=33145802 transcript=LOC_Os06g01640.1 locus=LOC_Os06g01640 ID=LOC_Os06g01640.1.MSUv7.0 annot-version=v7.0
OG0000762	Sobic.010G069400.1.p pacid=37908546 transcript=Sobic.010G069400.1 locus=Sobic.010G069400 ID=Sobic.010G069400.1.v3.2 annot-version=v3.1.1	LOC_Os03g21940.1 pacid=33133498 transcript=LOC_Os03g21940.1 locus=LOC_Os03g21940 ID=LOC_Os03g21940.1.MSUv7.0 annot-version=v7.0
OG0012838	"Sobic.010G242400.1.p pacid=37908547 transcript=Sobic.010G242400.1 locus=Sobic.010G242400 ID=Sobic.010G242400.1.v3.2 annot-version=v3.1.1, Sobic.010G239700.2.p pacid=37911280 transcript=Sobic.010G239700.2 locus=Sobic.010G239700 ID=Sobic.010G239700.2.v3.2 annot-version=v3.1.1, Sobic.010G242300.1.p pacid=37911974 transcript=Sobic.010G242300.1 locus=Sobic.010G242300 ID=Sobic.010G242300.1.v3.2 annot-version=v3.1.1"	LOC_Os06g47530.1 pacid=33149594 transcript=LOC_Os06g47530.1 locus=LOC_Os06g47530 ID=LOC_Os06g47530.1.MSUv7.0 annot-version=v7.0
OG0002148	Sobic.010G119200.1.p pacid=37908552 transcript=Sobic.010G119200.1 locus=Sobic.010G119200 ID=Sobic.010G119200.1.v3.2 annot-version=v3.1.1	LOC_Os06g17480.1 pacid=33145400 transcript=LOC_Os06g17480.1 locus=LOC_Os06g17480 ID=LOC_Os06g17480.1.MSUv7.0 annot-version=v7.0
OG0012830	"Sobic.010G210700.1.p pacid=37908554 transcript=Sobic.010G210700.1 locus=Sobic.010G210700 ID=Sobic.010G210700.1.v3.2 annot-version=v3.1.1, Sobic.007G157700.1.p pacid=37935326 transcript=Sobic.007G157700.1 locus=Sobic.007G157700 ID=Sobic.007G157700.1.v3.2 annot-version=v3.1.1"	LOC_Os06g44170.1 pacid=33147167 transcript=LOC_Os06g44170.1 locus=LOC_Os06g44170 ID=LOC_Os06g44170.1.MSUv7.0 annot-version=v7.0
OG0005967	"Sobic.010G068900.2.p pacid=37908555 transcript=Sobic.010G068900.2 locus=Sobic.010G068900 ID=Sobic.010G068900.2.v3.2 annot-version=v3.1.1, Sobic.010G068800.1.p pacid=37908717 transcript=Sobic.010G068800.1 locus=Sobic.010G068800 ID=Sobic.010G068800.1.v3.2 annot-version=v3.1.1"	"LOC_Os06g09120.1 pacid=33144594 transcript=LOC_Os06g09120.1 locus=LOC_Os06g09120 ID=LOC_Os06g09120.1.MSUv7.0 annot-version=v7.0, LOC_Os06g08900.1 pacid=33145010 transcript=LOC_Os06g08900.1 locus=LOC_Os06g08900 ID=LOC_Os06g08900.1.MSUv7.0 annot-version=v7.0, LOC_Os06g08910.3 pacid=33145029 transcript=LOC_Os06g08910.3 locus=LOC_Os06g08910 ID=LOC_Os06g08910.3.MSUv7.0 annot-version=v7.0, LOC_Os06g09090.1 pacid=33145965 transcript=LOC_Os06g09090.1 locus=LOC_Os06g09090 ID=LOC_Os06g09090.1.MSUv7.0 annot-version=v7.0, LOC_Os06g08930.1 pacid=33146250 transcript=LOC_Os06g08930.1 locus=LOC_Os06g08930 ID=LOC_Os06g08930.1.MSUv7.0 annot-version=v7.0, LOC_Os06g09050.1 pacid=33147714 transcript=LOC_Os06g09050.1 locus=LOC_Os06g09050 ID=LOC_Os06g09050.1.MSUv7.0 annot-version=v7.0, LOC_Os06g08890.1 pacid=33149094 transcript=LOC_Os06g08890.1 locus=LOC_Os06g08890 ID=LOC_Os06g08890.1.MSUv7.0 annot-version=v7.0"
OG0004083	Sobic.010G007300.1.p pacid=37908556 transcript=Sobic.010G007300.1 locus=Sobic.010G007300 ID=Sobic.010G007300.1.v3.2 annot-version=v3.1.1	LOC_Os09g24230.1 pacid=33140507 transcript=LOC_Os09g24230.1 locus=LOC_Os09g24230 ID=LOC_Os09g24230.1.MSUv7.0 annot-version=v7.0
OG0012687	Sobic.010G228300.1.p pacid=37908557 transcript=Sobic.010G228300.1 locus=Sobic.010G228300 ID=Sobic.010G228300.1.v3.2 annot-version=v3.1.1	"LOC_Os01g51470.1 pacid=33123015 transcript=LOC_Os01g51470.1 locus=LOC_Os01g51470 ID=LOC_Os01g51470.1.MSUv7.0 annot-version=v7.0, LOC_Os01g51520.1 pacid=33125761 transcript=LOC_Os01g51520.1 locus=LOC_Os01g51520 ID=LOC_Os01g51520.1.MSUv7.0 annot-version=v7.0"
OG0004094	"Sobic.010G229600.1.p pacid=37908559 transcript=Sobic.010G229600.1 locus=Sobic.010G229600 ID=Sobic.010G229600.1.v3.2 annot-version=v3.1.1, Sobic.006G212100.1.p pacid=37946077 transcript=Sobic.006G212100.1 locus=Sobic.006G212100 ID=Sobic.006G212100.1.v3.2 annot-version=v3.1.1"	LOC_Os04g52300.1 pacid=33109766 transcript=LOC_Os04g52300.1 locus=LOC_Os04g52300 ID=LOC_Os04g52300.1.MSUv7.0 annot-version=v7.0
OG0008630	Sobic.010G227300.1.p pacid=37908560 transcript=Sobic.010G227300.1 locus=Sobic.010G227300 ID=Sobic.010G227300.1.v3.2 annot-version=v3.1.1	LOC_Os06g46270.1 pacid=33146763 transcript=LOC_Os06g46270.1 locus=LOC_Os06g46270 ID=LOC_Os06g46270.1.MSUv7.0 annot-version=v7.0
OG0008414	Sobic.010G019300.1.p pacid=37908562 transcript=Sobic.010G019300.1 locus=Sobic.010G019300 ID=Sobic.010G019300.1.v3.2 annot-version=v3.1.1	LOC_Os06g03910.1 pacid=33149262 transcript=LOC_Os06g03910.1 locus=LOC_Os06g03910 ID=LOC_Os06g03910.1.MSUv7.0 annot-version=v7.0
